mmsi,vessel_name,timestamp,latitude,longitude,sog,cog,heading
419000001,MV KAVERI STAR,2026-08-20 12:00:00+00:00,-18.51568,147.461995,11.47,47.0,47.0
419000001,MV KAVERI STAR,2026-08-20 12:05:00+00:00,-18.510261,147.470492,10.84,45.2,45.2
419000001,MV KAVERI STAR,2026-08-20 12:10:00+00:00,-18.499159,147.48,11.39,47.4,47.4
419000001,MV KAVERI STAR,2026-08-20 12:15:00+00:00,-18.490568,147.491684,10.57,46.2,46.2
419000001,MV KAVERI STAR,2026-08-20 12:20:00+00:00,-18.481679,147.49759,10.98,47.4,47.4
419000001,MV KAVERI STAR,2026-08-20 12:25:00+00:00,-18.473951,147.506854,10.92,48.4,48.4
419000001,MV KAVERI STAR,2026-08-20 12:30:00+00:00,-18.465803,147.516191,11.18,46.4,46.4
419000001,MV KAVERI STAR,2026-08-20 12:35:00+00:00,-18.456184,147.526173,10.8,51.2,51.2
419000001,MV KAVERI STAR,2026-08-20 12:40:00+00:00,-18.44896,147.533275,11.56,46.6,46.6
419000001,MV KAVERI STAR,2026-08-20 12:45:00+00:00,-18.439941,147.542107,11.33,42.3,42.3
419000001,MV KAVERI STAR,2026-08-20 12:50:00+00:00,-18.4303,147.552942,11.12,42.8,42.8
419000001,MV KAVERI STAR,2026-08-20 12:55:00+00:00,-18.422671,147.561351,11.11,47.4,47.4
419000001,MV KAVERI STAR,2026-08-20 13:00:00+00:00,-18.41343,147.570006,11.32,45.7,45.7
419000001,MV KAVERI STAR,2026-08-20 13:05:00+00:00,-18.407849,147.578326,10.68,43.4,43.4
419000001,MV KAVERI STAR,2026-08-20 13:10:00+00:00,-18.397767,147.589773,11.48,42.2,42.2
419000001,MV KAVERI STAR,2026-08-20 13:15:00+00:00,-18.391199,147.596044,11.29,45.3,45.3
419000001,MV KAVERI STAR,2026-08-20 13:20:00+00:00,-18.379472,147.606516,10.77,43.7,43.7
419000001,MV KAVERI STAR,2026-08-20 13:25:00+00:00,-18.370795,147.613987,10.43,41.0,41.0
419000001,MV KAVERI STAR,2026-08-20 13:30:00+00:00,-18.364727,147.623835,11.35,45.2,45.2
419000001,MV KAVERI STAR,2026-08-20 13:35:00+00:00,-18.355581,147.632224,10.85,46.7,46.7
419000001,MV KAVERI STAR,2026-08-20 13:40:00+00:00,-18.345904,147.639929,10.81,43.7,43.7
419000001,MV KAVERI STAR,2026-08-20 13:45:00+00:00,-18.339667,147.650429,11.01,43.4,43.4
419000001,MV KAVERI STAR,2026-08-20 13:50:00+00:00,-18.328914,147.659242,10.95,46.8,46.8
419000001,MV KAVERI STAR,2026-08-20 13:55:00+00:00,-18.321662,147.667364,10.28,39.7,39.7
419000001,MV KAVERI STAR,2026-08-20 14:00:00+00:00,-18.314404,147.674932,10.55,46.0,46.0
419000001,MV KAVERI STAR,2026-08-20 14:05:00+00:00,-18.304644,147.687061,11.37,43.7,43.7
419000001,MV KAVERI STAR,2026-08-20 14:10:00+00:00,-18.296919,147.693795,10.83,42.0,42.0
419000001,MV KAVERI STAR,2026-08-20 14:15:00+00:00,-18.286034,147.700505,11.12,46.1,46.1
419000001,MV KAVERI STAR,2026-08-20 14:20:00+00:00,-18.279501,147.709774,10.74,45.0,45.0
419000001,MV KAVERI STAR,2026-08-20 14:25:00+00:00,-18.269901,147.720727,10.88,49.6,49.6
419000001,MV KAVERI STAR,2026-08-20 14:30:00+00:00,-18.263127,147.72982,11.68,45.5,45.5
419000001,MV KAVERI STAR,2026-08-20 14:35:00+00:00,-18.252127,147.738942,10.41,49.2,49.2
419000001,MV KAVERI STAR,2026-08-20 14:40:00+00:00,-18.245649,147.745991,10.31,43.6,43.6
419000001,MV KAVERI STAR,2026-08-20 14:45:00+00:00,-18.235441,147.75586,10.49,40.4,40.4
419000001,MV KAVERI STAR,2026-08-20 14:50:00+00:00,-18.227399,147.766234,12.46,50.8,50.8
419000001,MV KAVERI STAR,2026-08-20 14:55:00+00:00,-18.218784,147.772511,11.13,38.4,38.4
419000001,MV KAVERI STAR,2026-08-20 15:00:00+00:00,-18.21197,147.782195,10.93,43.0,43.0
419000001,MV KAVERI STAR,2026-08-20 15:05:00+00:00,-18.200943,147.791877,10.48,44.3,44.3
419000001,MV KAVERI STAR,2026-08-20 15:10:00+00:00,-18.196182,147.799834,11.88,44.7,44.7
419000001,MV KAVERI STAR,2026-08-20 15:15:00+00:00,-18.185255,147.810788,10.41,43.3,43.3
419000001,MV KAVERI STAR,2026-08-20 15:20:00+00:00,-18.178263,147.817235,10.59,51.2,51.2
419000001,MV KAVERI STAR,2026-08-20 15:25:00+00:00,-18.167338,147.825853,11.19,47.6,47.6
419000001,MV KAVERI STAR,2026-08-20 15:30:00+00:00,-18.160209,147.835945,11.22,42.9,42.9
419000001,MV KAVERI STAR,2026-08-20 15:35:00+00:00,-18.152135,147.843135,11.09,41.0,41.0
419000001,MV KAVERI STAR,2026-08-20 15:40:00+00:00,-18.140897,147.853969,11.14,44.5,44.5
419000001,MV KAVERI STAR,2026-08-20 15:45:00+00:00,-18.132789,147.862923,11.55,43.6,43.6
419000001,MV KAVERI STAR,2026-08-20 15:50:00+00:00,-18.125501,147.87366,10.39,45.4,45.4
419000001,MV KAVERI STAR,2026-08-20 15:55:00+00:00,-18.11946,147.882693,10.91,50.0,50.0
419000001,MV KAVERI STAR,2026-08-20 16:00:00+00:00,-18.109645,147.891294,10.55,41.5,41.5
419000002,MV COASTAL BREEZE,2026-08-20 07:00:00+00:00,-18.560439,147.368301,9.92,35.3,35.3
419000002,MV COASTAL BREEZE,2026-08-20 07:05:00+00:00,-18.547665,147.380718,10.32,35.6,35.6
419000002,MV COASTAL BREEZE,2026-08-20 07:10:00+00:00,-18.537715,147.388503,9.39,32.8,32.8
419000002,MV COASTAL BREEZE,2026-08-20 07:15:00+00:00,-18.522937,147.397953,9.34,38.1,38.1
419000002,MV COASTAL BREEZE,2026-08-20 07:20:00+00:00,-18.508515,147.407595,10.5,34.3,34.3
419000002,MV COASTAL BREEZE,2026-08-20 07:25:00+00:00,-18.494638,147.420039,9.65,34.9,34.9
419000002,MV COASTAL BREEZE,2026-08-20 07:30:00+00:00,-18.482483,147.428338,9.46,35.9,35.9
419000002,MV COASTAL BREEZE,2026-08-20 07:35:00+00:00,-18.468867,147.438173,10.94,42.9,42.9
419000002,MV COASTAL BREEZE,2026-08-20 07:40:00+00:00,-18.456959,147.447296,9.7,30.9,30.9
419000002,MV COASTAL BREEZE,2026-08-20 07:45:00+00:00,-18.442185,147.459273,9.67,33.1,33.1
419000002,MV COASTAL BREEZE,2026-08-20 07:50:00+00:00,-18.432337,147.467184,9.74,32.1,32.1
419000002,MV COASTAL BREEZE,2026-08-20 07:55:00+00:00,-18.417425,147.477136,9.27,30.1,30.1
419000002,MV COASTAL BREEZE,2026-08-20 08:00:00+00:00,-18.400158,147.485297,10.92,32.1,32.1
419000002,MV COASTAL BREEZE,2026-08-20 08:05:00+00:00,-18.385917,147.495317,10.17,34.2,34.2
419000002,MV COASTAL BREEZE,2026-08-20 08:10:00+00:00,-18.374324,147.505435,10.39,34.6,34.6
419000002,MV COASTAL BREEZE,2026-08-20 08:15:00+00:00,-18.36289,147.516157,9.31,34.9,34.9
419000002,MV COASTAL BREEZE,2026-08-20 08:20:00+00:00,-18.350615,147.526169,9.72,36.0,36.0
419000002,MV COASTAL BREEZE,2026-08-20 08:25:00+00:00,-18.336463,147.53784,10.18,35.8,35.8
419000002,MV COASTAL BREEZE,2026-08-20 08:30:00+00:00,-18.323842,147.546258,10.16,33.2,33.2
419000002,MV COASTAL BREEZE,2026-08-20 08:35:00+00:00,-18.310857,147.559084,10.19,40.1,40.1
419000002,MV COASTAL BREEZE,2026-08-20 08:40:00+00:00,-18.298572,147.564389,10.13,38.9,38.9
419000002,MV COASTAL BREEZE,2026-08-20 08:45:00+00:00,-18.283696,147.573348,10.23,38.1,38.1
419000002,MV COASTAL BREEZE,2026-08-20 08:50:00+00:00,-18.272665,147.585009,10.03,36.2,36.2
419000002,MV COASTAL BREEZE,2026-08-20 08:55:00+00:00,-18.258367,147.595387,10.08,34.6,34.6
419000002,MV COASTAL BREEZE,2026-08-20 09:00:00+00:00,-18.242785,147.601748,10.09,34.7,34.7
419000003,MV NORTHERN TRADER,2026-08-20 10:30:00+00:00,-17.945937,147.841389,9.16,97.8,97.8
419000003,MV NORTHERN TRADER,2026-08-20 10:35:00+00:00,-17.944318,147.841208,8.84,105.6,105.6
419000003,MV NORTHERN TRADER,2026-08-20 10:40:00+00:00,-17.947068,147.843353,9.65,102.1,102.1
419000003,MV NORTHERN TRADER,2026-08-20 10:45:00+00:00,-17.946517,147.848763,9.22,106.6,106.6
419000003,MV NORTHERN TRADER,2026-08-20 10:50:00+00:00,-17.945265,147.848395,8.85,105.5,105.5
419000003,MV NORTHERN TRADER,2026-08-20 10:55:00+00:00,-17.947863,147.848249,8.41,106.0,106.0
419000003,MV NORTHERN TRADER,2026-08-20 11:00:00+00:00,-17.947215,147.850432,9.38,106.6,106.6
419000003,MV NORTHERN TRADER,2026-08-20 11:05:00+00:00,-17.94613,147.853201,8.97,98.3,98.3
419000003,MV NORTHERN TRADER,2026-08-20 11:10:00+00:00,-17.950513,147.852896,9.32,107.6,107.6
419000003,MV NORTHERN TRADER,2026-08-20 11:15:00+00:00,-17.950194,147.853658,8.39,103.2,103.2
419000003,MV NORTHERN TRADER,2026-08-20 11:20:00+00:00,-17.950479,147.857,9.3,106.5,106.5
419000003,MV NORTHERN TRADER,2026-08-20 11:25:00+00:00,-17.953,147.858454,9.21,103.3,103.3
419000003,MV NORTHERN TRADER,2026-08-20 11:30:00+00:00,-17.948022,147.856564,9.3,101.3,101.3
419000003,MV NORTHERN TRADER,2026-08-20 11:35:00+00:00,-17.952683,147.863042,9.42,104.2,104.2
419000003,MV NORTHERN TRADER,2026-08-20 11:40:00+00:00,-17.951635,147.863568,9.12,106.3,106.3
419000003,MV NORTHERN TRADER,2026-08-20 11:45:00+00:00,-17.950866,147.864262,8.93,100.5,100.5
419000003,MV NORTHERN TRADER,2026-08-20 11:50:00+00:00,-17.951713,147.865887,8.47,106.1,106.1
419000003,MV NORTHERN TRADER,2026-08-20 11:55:00+00:00,-17.951999,147.868906,8.59,100.8,100.8
419000003,MV NORTHERN TRADER,2026-08-20 12:00:00+00:00,-17.951878,147.869468,9.66,103.1,103.1
419000003,MV NORTHERN TRADER,2026-08-20 12:05:00+00:00,-17.951313,147.870929,10.16,104.7,104.7
419000003,MV NORTHERN TRADER,2026-08-20 12:10:00+00:00,-17.953077,147.868363,8.77,107.9,107.9
419000003,MV NORTHERN TRADER,2026-08-20 12:15:00+00:00,-17.952975,147.87452,8.37,98.2,98.2
419000003,MV NORTHERN TRADER,2026-08-20 12:20:00+00:00,-17.955617,147.873004,9.26,104.4,104.4
419000003,MV NORTHERN TRADER,2026-08-20 12:25:00+00:00,-17.953393,147.873592,9.03,96.1,96.1
419000003,MV NORTHERN TRADER,2026-08-20 12:30:00+00:00,-17.95473,147.877708,9.07,105.2,105.2
419000003,MV NORTHERN TRADER,2026-08-20 12:35:00+00:00,-17.953382,147.878846,8.65,104.6,104.6
419000003,MV NORTHERN TRADER,2026-08-20 12:40:00+00:00,-17.95498,147.880265,8.8,105.5,105.5
419000003,MV NORTHERN TRADER,2026-08-20 12:45:00+00:00,-17.954352,147.881074,9.41,102.7,102.7
419000003,MV NORTHERN TRADER,2026-08-20 12:50:00+00:00,-17.958086,147.881078,7.83,98.6,98.6
419000003,MV NORTHERN TRADER,2026-08-20 12:55:00+00:00,-17.956626,147.88544,9.1,102.2,102.2
419000003,MV NORTHERN TRADER,2026-08-20 13:00:00+00:00,-17.954551,147.887723,9.68,102.8,102.8
419000003,MV NORTHERN TRADER,2026-08-20 13:05:00+00:00,-17.956226,147.886121,8.26,101.3,101.3
419000003,MV NORTHERN TRADER,2026-08-20 13:10:00+00:00,-17.957879,147.888264,9.86,105.5,105.5
419000003,MV NORTHERN TRADER,2026-08-20 13:15:00+00:00,-17.958872,147.890792,9.24,99.9,99.9
419000003,MV NORTHERN TRADER,2026-08-20 13:20:00+00:00,-17.957498,147.889106,8.7,105.8,105.8
419000003,MV NORTHERN TRADER,2026-08-20 13:25:00+00:00,-17.958368,147.891649,9.21,101.1,101.1
419000003,MV NORTHERN TRADER,2026-08-20 13:30:00+00:00,-17.958223,147.895094,9.66,104.1,104.1
419000003,MV NORTHERN TRADER,2026-08-20 13:35:00+00:00,-17.958754,147.894,8.83,106.3,106.3
419000003,MV NORTHERN TRADER,2026-08-20 13:40:00+00:00,-17.9571,147.898099,9.17,102.7,102.7
419000003,MV NORTHERN TRADER,2026-08-20 13:45:00+00:00,-17.956289,147.901963,9.08,103.3,103.3
419000003,MV NORTHERN TRADER,2026-08-20 13:50:00+00:00,-17.957798,147.899287,8.99,104.1,104.1
419000003,MV NORTHERN TRADER,2026-08-20 13:55:00+00:00,-17.959155,147.900769,7.96,98.3,98.3
419000003,MV NORTHERN TRADER,2026-08-20 14:00:00+00:00,-17.96142,147.902764,9.97,102.2,102.2
419000003,MV NORTHERN TRADER,2026-08-20 14:05:00+00:00,-17.958727,147.903515,8.8,104.1,104.1
419000003,MV NORTHERN TRADER,2026-08-20 14:10:00+00:00,-17.960936,147.906604,8.83,104.9,104.9
419000003,MV NORTHERN TRADER,2026-08-20 14:15:00+00:00,-17.95943,147.906188,10.3,103.1,103.1
419000003,MV NORTHERN TRADER,2026-08-20 14:20:00+00:00,-17.960894,147.9113,9.29,103.3,103.3
419000003,MV NORTHERN TRADER,2026-08-20 14:25:00+00:00,-17.961596,147.910493,9.22,100.7,100.7
419000003,MV NORTHERN TRADER,2026-08-20 14:30:00+00:00,-17.962997,147.913141,9.18,106.3,106.3
419000003,MV NORTHERN TRADER,2026-08-20 14:35:00+00:00,-17.962554,147.914306,9.47,102.1,102.1
419000003,MV NORTHERN TRADER,2026-08-20 14:40:00+00:00,-17.964973,147.914652,8.25,97.1,97.1
419000003,MV NORTHERN TRADER,2026-08-20 14:45:00+00:00,-17.960961,147.917859,8.25,100.9,100.9
419000003,MV NORTHERN TRADER,2026-08-20 14:50:00+00:00,-17.967156,147.917286,9.22,110.3,110.3
419000003,MV NORTHERN TRADER,2026-08-20 14:55:00+00:00,-17.964216,147.920178,8.85,98.4,98.4
419000003,MV NORTHERN TRADER,2026-08-20 15:00:00+00:00,-17.963645,147.920862,9.17,105.4,105.4
419000003,MV NORTHERN TRADER,2026-08-20 15:05:00+00:00,-17.963197,147.921473,9.81,105.7,105.7
419000003,MV NORTHERN TRADER,2026-08-20 15:10:00+00:00,-17.965742,147.922655,8.9,107.1,107.1
419000003,MV NORTHERN TRADER,2026-08-20 15:15:00+00:00,-17.962845,147.92475,9.07,107.4,107.4
419000003,MV NORTHERN TRADER,2026-08-20 15:20:00+00:00,-17.964722,147.929057,8.53,102.0,102.0
419000003,MV NORTHERN TRADER,2026-08-20 15:25:00+00:00,-17.966004,147.928946,9.32,98.4,98.4
419000003,MV NORTHERN TRADER,2026-08-20 15:30:00+00:00,-17.966449,147.931395,8.61,95.9,95.9
419000003,MV NORTHERN TRADER,2026-08-20 15:35:00+00:00,-17.968329,147.930063,8.91,103.8,103.8
419000003,MV NORTHERN TRADER,2026-08-20 15:40:00+00:00,-17.966708,147.932472,8.5,103.7,103.7
419000003,MV NORTHERN TRADER,2026-08-20 15:45:00+00:00,-17.965728,147.935101,9.28,104.2,104.2
419000003,MV NORTHERN TRADER,2026-08-20 15:50:00+00:00,-17.966608,147.938509,8.85,102.8,102.8
419000003,MV NORTHERN TRADER,2026-08-20 15:55:00+00:00,-17.968355,147.935628,8.56,99.3,99.3
419000003,MV NORTHERN TRADER,2026-08-20 16:00:00+00:00,-17.967752,147.939028,8.62,103.2,103.2
419000003,MV NORTHERN TRADER,2026-08-20 16:05:00+00:00,-17.966758,147.941066,8.67,102.6,102.6
419000003,MV NORTHERN TRADER,2026-08-20 16:10:00+00:00,-17.967558,147.941749,8.97,98.7,98.7
